./Data/BW2025-02-07_16:12:49sky.txt
Duration (in s): 30
Calibrating: False
Temperature of the calibrator (in Celsius): nan
Azimuth angle from North: nan
Altitude angle from the horizon: 140.0
Temperature Outside (in Celsius): 2
Weather: nan
Units: Volts

Time (s), Voltage (V)
2.8848648071289062e-05,-0.3421
0.06733107566833496,-0.3423
0.10924696922302246,-0.3421
0.16637206077575684,-0.3422
0.20949196815490723,-0.3422
0.26649904251098633,-0.3423
0.3085010051727295,-0.3422
0.3654930591583252,-0.3424
0.4084279537200928,-0.3421
0.46552395820617676,-0.3422
0.5073988437652588,-0.3421
0.5645120143890381,-0.3421
0.6214570999145508,-0.3425
0.6643838882446289,-0.3421
0.7215111255645752,-0.3423
0.7634501457214355,-0.342
0.8204641342163086,-0.3423
0.8633389472961426,-0.3421
0.9204790592193604,-0.3424
0.9633340835571289,-0.3421
1.0192749500274658,-0.3425
1.0620741844177246,-0.342
1.1190240383148193,-0.3423
1.1621630191802979,-0.3421
1.218074083328247,-0.3424
1.2611188888549805,-0.3422
1.318023920059204,-0.3424
1.361030101776123,-0.3421
1.4170091152191162,-0.3423
1.4740688800811768,-0.3422
1.5169909000396729,-0.3423
1.5740320682525635,-0.342
1.6170120239257812,-0.3422
1.6730470657348633,-0.3422
1.7159841060638428,-0.342
1.77296781539917,-0.3422
1.8160490989685059,-0.3422
1.872978925704956,-0.3421
1.9149549007415771,-0.3421
1.97194504737854,-0.3423
2.014975070953369,-0.3421
2.0719759464263916,-0.3421
2.1139519214630127,-0.342
2.170989990234375,-0.3422
2.214001178741455,-0.3419
2.27093505859375,-0.3423
2.312924861907959,-0.342
2.369992971420288,-0.3422
2.4129159450531006,-0.342
2.4699409008026123,-0.3423
2.5269041061401367,-0.3419
2.5689001083374023,-0.3422
2.625941038131714,-0.342
2.6689248085021973,-0.3423
2.7259130477905273,-0.342
2.7678699493408203,-0.3421
2.8248560428619385,-0.342
2.867893934249878,-0.3422
2.924854040145874,-0.3422
2.9678421020507812,-0.3421
3.0238490104675293,-0.3421
3.0668349266052246,-0.3422
3.1238560676574707,-0.3421
3.166827917098999,-0.3421
3.223806858062744,-0.3422
3.265836000442505,-0.342
3.322859048843384,-0.3422
3.3798158168792725,-0.3421
3.422806978225708,-0.3423
3.4788050651550293,-0.3422
3.521798849105835,-0.3423
3.5787971019744873,-0.342
3.621790885925293,-0.3423
3.6788489818573,-0.342
3.7207999229431152,-0.3423
3.7777578830718994,-0.3421
3.820751190185547,-0.3422
3.8777740001678467,-0.342
3.919760227203369,-0.3425
3.9767301082611084,-0.3422
4.019736051559448,-0.3423
4.076749086380005,-0.3421
4.118741989135742,-0.3423
4.1757261753082275,-0.3421
4.2187440395355225,-0.3423
4.275756120681763,-0.3421
4.318727970123291,-0.3422
4.374705076217651,-0.3422
4.4176928997039795,-0.3422
4.4747021198272705,-0.3422
4.531708240509033,-0.3422
4.574676036834717,-0.3422
4.63068699836731,-0.3421
4.673681259155273,-0.3424
4.730662107467651,-0.3422
4.7726709842681885,-0.3423
4.829667091369629,-0.342
4.872658014297485,-0.3423
4.929648160934448,-0.3421
4.971637010574341,-0.3424
5.028667211532593,-0.342
5.0716400146484375,-0.3425
5.128710985183716,-0.3421
5.171654224395752,-0.3424
5.22763204574585,-0.342
5.270637035369873,-0.3424
5.327647924423218,-0.342
5.370634078979492,-0.3422
5.427631139755249,-0.3422
5.483680963516235,-0.3423
5.526641845703125,-0.3421
5.583629131317139,-0.3423
5.6266770362854,-0.3422
5.682667016983032,-0.3424
5.725654125213623,-0.3423
5.7825541496276855,-0.3423
5.825564861297607,-0.3422
5.882601976394653,-0.3422
5.924549102783203,-0.3423
5.981659173965454,-0.3422
6.024694919586182,-0.3424
6.081525087356567,-0.3422
6.124497890472412,-0.3423
6.180674076080322,-0.3421
6.223520994186401,-0.3424
6.280508041381836,-0.3422
6.322512149810791,-0.3424
6.380505084991455,-0.3421
6.436504125595093,-0.3424
6.479482173919678,-0.342
6.536506175994873,-0.3423
6.578470230102539,-0.342
6.635498046875,-0.3424
6.678465127944946,-0.342
6.73550009727478,-0.3423
6.778467178344727,-0.3421
6.834444999694824,-0.3423
6.877432107925415,-0.3421
6.934435129165649,-0.3423
6.977425813674927,-0.3421
7.033416986465454,-0.3422
7.076415061950684,-0.3422
7.133471965789795,-0.3422
7.176425933837891,-0.342
7.233425140380859,-0.342
7.2893970012664795,-0.3423
7.332437992095947,-0.342
7.389415264129639,-0.3424
7.432377099990845,-0.3421
7.489380121231079,-0.3424
7.5313568115234375,-0.342
7.588393926620483,-0.3422
7.631372928619385,-0.3421
7.688352108001709,-0.3424
7.730374813079834,-0.342
7.787358999252319,-0.3423
7.830322980880737,-0.342
7.887351036071777,-0.3425
7.929339170455933,-0.342
7.986335039138794,-0.3423
8.02930998802185,-0.3422
8.086345911026001,-0.3423
8.143343210220337,-0.3422
8.185330867767334,-0.3423
8.24231505393982,-0.3421
8.285313129425049,-0.3422
8.34229302406311,-0.3421
8.38428807258606,-0.3422
8.441268920898438,-0.3422
8.484263181686401,-0.3421
8.54128098487854,-0.3423
8.583255052566528,-0.3422
8.640290975570679,-0.3422
8.683254957199097,-0.3421
8.74026107788086,-0.3423
8.783263921737671,-0.342
8.83923602104187,-0.3423
8.882293939590454,-0.342
8.939270973205566,-0.3422
8.982259035110474,-0.3421
9.039222955703735,-0.3424
9.095203161239624,-0.3422
9.138233184814453,-0.3425
9.195210933685303,-0.3421
9.237210035324097,-0.3425
9.295188903808594,-0.342
9.33718490600586,-0.3423
9.394199132919312,-0.3422
