./Data/BW2025-02-07_16:12:01sky.txt
Duration (in s): 30
Calibrating: False
Temperature of the calibrator (in Celsius): nan
Azimuth angle from North: nan
Altitude angle from the horizon: 150.0
Temperature Outside (in Celsius): 2
Weather: nan
Units: Volts

Time (s), Voltage (V)
6.4849853515625e-05,-0.34
0.03292989730834961,-0.3398
0.08977985382080078,-0.3401
0.13281774520874023,-0.3398
0.19007277488708496,-0.34
0.23194074630737305,-0.34
0.28899288177490234,-0.3401
0.3320178985595703,-0.3399
0.3889899253845215,-0.3398
0.43090295791625977,-0.34
0.4880027770996094,-0.3399
0.5449657440185547,-0.3399
0.5878646373748779,-0.3398
0.6449687480926514,-0.34
0.6869797706604004,-0.3397
0.7439589500427246,-0.34
0.7869617938995361,-0.3398
0.8439078330993652,-0.34
0.8869497776031494,-0.3398
0.9429318904876709,-0.3401
0.9857888221740723,-0.3398
1.042630910873413,-0.3399
1.0857298374176025,-0.3397
1.141617774963379,-0.3401
1.1845676898956299,-0.3398
1.2414929866790771,-0.3401
1.2845947742462158,-0.3397
1.3415589332580566,-0.3397
1.397554874420166,-0.3398
1.4405088424682617,-0.3399
1.4975318908691406,-0.3398
1.5405030250549316,-0.3399
1.5975568294525146,-0.3398
1.6394977569580078,-0.3399
1.6964306831359863,-0.3399
1.7394187450408936,-0.3397
1.7964577674865723,-0.34
1.8384177684783936,-0.3399
1.8954367637634277,-0.34
1.9384067058563232,-0.3399
1.9954040050506592,-0.3398
2.0374410152435303,-0.3397
2.094432830810547,-0.34
2.1374127864837646,-0.3398
2.1944527626037598,-0.34
2.251389741897583,-0.3397
2.2933707237243652,-0.34
2.350364923477173,-0.3397
2.3933827877044678,-0.34
2.4503936767578125,-0.3397
2.4924018383026123,-0.3401
2.5493459701538086,-0.3398
2.5923807621002197,-0.3401
2.649364948272705,-0.3397
2.6923530101776123,-0.3399
2.7483158111572266,-0.3397
2.791303873062134,-0.3398
2.848346710205078,-0.3396
2.8903396129608154,-0.3399
2.9482879638671875,-0.3396
2.990311861038208,-0.3399
3.047325849533081,-0.3399
3.1042978763580322,-0.34
3.1462948322296143,-0.34
3.203267812728882,-0.3398
3.2463059425354004,-0.34
3.3032538890838623,-0.3397
3.3462436199188232,-0.34
3.4022648334503174,-0.3398
3.4452946186065674,-0.3401
3.502241849899292,-0.3398
3.5452516078948975,-0.3402
3.6012396812438965,-0.3397
3.644235849380493,-0.3402
3.70121693611145,-0.3397
3.744206666946411,-0.3401
3.8012077808380127,-0.3397
3.843219757080078,-0.34
3.9002139568328857,-0.3396
3.943220853805542,-0.3401
4.0001819133758545,-0.3398
4.042297840118408,-0.34
4.099363803863525,-0.3399
4.156215667724609,-0.3401
4.199193716049194,-0.3399
4.256181955337524,-0.34
4.298191785812378,-0.3399
4.355146884918213,-0.3399
4.398126840591431,-0.3401
4.455160617828369,-0.34
4.498143911361694,-0.3399
4.5541229248046875,-0.3399
4.5973145961761475,-0.3399
4.654342889785767,-0.3399
4.69615364074707,-0.34
4.753126859664917,-0.3399
4.796106815338135,-0.3402
4.853097915649414,-0.3398
4.89613676071167,-0.34
4.952107906341553,-0.3398
4.995121717453003,-0.3401
5.052114725112915,-0.3398
5.109148740768433,-0.34
5.152072906494141,-0.3397
5.208063840866089,-0.3399
5.251041889190674,-0.3397
5.308043003082275,-0.34
5.351046800613403,-0.3399
5.40805983543396,-0.3401
5.450052738189697,-0.3398
5.507065773010254,-0.3401
5.550018787384033,-0.3399
5.607031583786011,-0.3399
5.649036645889282,-0.3398
5.706056833267212,-0.34
5.749017715454102,-0.34
5.806002855300903,-0.3402
5.848038911819458,-0.3401
5.905016660690308,-0.34
5.962007761001587,-0.3399
6.004965782165527,-0.3399
6.061985015869141,-0.3399
6.103975772857666,-0.3399
6.161087989807129,-0.3399
6.203953742980957,-0.3398
6.260984659194946,-0.34
6.303040981292725,-0.3398
6.360026836395264,-0.3401
6.402946710586548,-0.3398
6.459988832473755,-0.3401
6.501968860626221,-0.3398
6.558969736099243,-0.34
6.616003751754761,-0.3397
6.658949851989746,-0.3401
6.715918779373169,-0.3397
6.757892847061157,-0.3397
6.814888954162598,-0.3397
6.857916831970215,-0.3398
6.914928674697876,-0.3399
6.956861734390259,-0.3399
7.013875961303711,-0.34
7.056877613067627,-0.3399
7.113903760910034,-0.3399
7.156874895095825,-0.34
7.213860750198364,-0.34
7.255835771560669,-0.3399
7.312834739685059,-0.34
7.355838775634766,-0.3397
7.412815809249878,-0.34
7.454819679260254,-0.34
7.5118248462677,-0.3399
7.554813861846924,-0.3399
7.610834836959839,-0.3399
7.653789758682251,-0.3398
7.7108306884765625,-0.34
7.767786979675293,-0.3398
7.810796022415161,-0.3401
7.866772890090942,-0.3398
7.90980076789856,-0.3401
7.966763973236084,-0.3399
8.009763717651367,-0.3401
8.066815853118896,-0.3398
8.108852863311768,-0.3401
8.16575574874878,-0.3399
8.208744764328003,-0.3402
8.265724897384644,-0.3398
8.307784795761108,-0.3401
8.36472487449646,-0.3397
8.407718896865845,-0.34
8.46471881866455,-0.3399
8.506703853607178,-0.34
8.563723802566528,-0.34
8.60675573348999,-0.3398
8.66373085975647,-0.34
8.720715999603271,-0.3399
8.762695789337158,-0.3401
8.81966781616211,-0.3398
8.862712621688843,-0.3401
8.919675827026367,-0.3397
8.96266794204712,-0.3402
9.018667936325073,-0.3399
9.061656713485718,-0.34
9.118698835372925,-0.3398
9.161715745925903,-0.3403
9.217643976211548,-0.3399
9.260636806488037,-0.3402
9.317679643630981,-0.3397
9.360638856887817,-0.3401
9.417618751525879,-0.3399
9.473607778549194,-0.34
9.516633749008179,-0.3397
9.573616743087769,-0.3401
9.616606950759888,-0.3398
9.672644853591919,-0.34
9.715634822845459,-0.3398
9.772616863250732,-0.3399
9.81557559967041,-0.34
9.872574806213379,-0.3398
9.914590835571289,-0.34
9.971674680709839,-0.3399
10.014824867248535,-0.34
10.071932792663574,-0.34
10.113762617111206,-0.3398
10.170933961868286,-0.34
10.213753700256348,-0.3401
10.270896673202515,-0.3399
10.312909603118896,-0.3401
10.369897842407227,-0.3397
10.412781000137329,-0.34
10.469791889190674,-0.3398
10.512775897979736,-0.34
10.568836688995361,-0.3399
10.625802993774414,-0.3401
10.668747901916504,-0.3397
10.725790739059448,-0.3402
10.768819808959961,-0.3398
10.82483983039856,-0.3401
10.867769718170166,-0.3398
10.924850940704346,-0.3401
10.966677904129028,-0.3399
11.023607730865479,-0.34
11.066563606262207,-0.34
11.123507738113403,-0.3399
