# ./Data/BW2025-02-07_14:20:09_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis): 0
# Calibrator used: NO
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
2.040863037109375000e-04 -8.578999999999999959e-01
4.411530494689941406e-02 -8.581999999999999629e-01
8.607316017150878906e-02 -8.576000000000000290e-01
1.432392597198486328e-01 -8.580999999999999739e-01
1.865022182464599609e-01 -8.576000000000000290e-01
2.442190647125244141e-01 -8.582999999999999519e-01
2.849650382995605469e-01 -8.577000000000000179e-01
3.420610427856445312e-01 -8.579999999999999849e-01
3.848900794982910156e-01 -8.578000000000000069e-01
4.419629573822021484e-01 -8.579999999999999849e-01
4.849681854248046875e-01 -8.577000000000000179e-01
5.419430732727050781e-01 -8.578000000000000069e-01
5.839252471923828125e-01 -8.578999999999999959e-01
6.408281326293945312e-01 -8.577000000000000179e-01
6.979601383209228516e-01 -8.575000000000000400e-01
7.408580780029296875e-01 -8.578999999999999959e-01
7.979221343994140625e-01 -8.577000000000000179e-01
8.398211002349853516e-01 -8.577000000000000179e-01
8.968071937561035156e-01 -8.578999999999999959e-01
9.397821426391601562e-01 -8.577000000000000179e-01
9.968681335449218750e-01 -8.574000000000000510e-01
1.039826154708862305e+00 -8.579999999999999849e-01
1.096754312515258789e+00 -8.577000000000000179e-01
1.138872146606445312e+00 -8.578000000000000069e-01
1.195767164230346680e+00 -8.578000000000000069e-01
1.238798141479492188e+00 -8.576000000000000290e-01
1.295844078063964844e+00 -8.580999999999999739e-01
1.337790250778198242e+00 -8.578999999999999959e-01
1.394760131835937500e+00 -8.580999999999999739e-01
1.437761068344116211e+00 -8.577000000000000179e-01
1.494772195816040039e+00 -8.579999999999999849e-01
1.537716150283813477e+00 -8.578999999999999959e-01
1.594703197479248047e+00 -8.580999999999999739e-01
1.636895179748535156e+00 -8.579999999999999849e-01
1.693817138671875000e+00 -8.580999999999999739e-01
1.736733198165893555e+00 -8.578999999999999959e-01
1.793781995773315430e+00 -8.578999999999999959e-01
1.836702346801757812e+00 -8.579999999999999849e-01
