./Data/BW2025-02-07_16:21:40calibration2.txt
Duration (in s): 30
Calibrating: True
Temperature of the calibrator (in Celsius): 2
Azimuth angle from North: nan
Altitude angle from the horizon: 0.0
Temperature Outside (in Celsius): 2
Weather: nan
Units: Volts

Time (s), Voltage (V)
5.078315734863281e-05,-0.9315
0.0727238655090332,-0.9307
0.11466598510742188,-0.9311
0.17180800437927246,-0.9309
0.22870397567749023,-0.931
0.27169370651245117,-0.9309
0.3287167549133301,-0.9311
0.3706948757171631,-0.9309
0.42774295806884766,-0.931
0.4707069396972656,-0.9309
0.5277576446533203,-0.9311
0.5697226524353027,-0.9312
0.6267437934875488,-0.9309
0.6697227954864502,-0.9309
0.7267718315124512,-0.9309
0.7697248458862305,-0.9312
0.825772762298584,-0.931
0.8687667846679688,-0.9314
0.9257819652557373,-0.9311
0.9687228202819824,-0.931
1.0257327556610107,-0.9309
1.0817348957061768,-0.9311
1.1248257160186768,-0.9307
1.1817636489868164,-0.9311
1.2249557971954346,-0.9306
1.28184175491333,-0.9306
1.3238346576690674,-0.9305
1.3809788227081299,-0.9312
1.4238317012786865,-0.931
1.4798598289489746,-0.9311
1.5228548049926758,-0.9307
1.5798728466033936,-0.931
1.6228728294372559,-0.9309
1.6799097061157227,-0.9309
1.7358949184417725,-0.9311
1.7788667678833008,-0.9309
1.835911750793457,-0.9308
1.8788936138153076,-0.931
1.9359347820281982,-0.9306
1.9778568744659424,-0.931
2.034921884536743,-0.931
2.077899932861328,-0.9306
2.1349287033081055,-0.931
2.1769378185272217,-0.9309
2.2339677810668945,-0.9309
2.276944875717163,-0.9309
2.3339357376098633,-0.9312
2.3758907318115234,-0.9309
2.4328877925872803,-0.931
2.4758658409118652,-0.9306
2.532930612564087,-0.9311
2.58990478515625,-0.9309
2.6318957805633545,-0.9311
2.6889398097991943,-0.9309
2.7319889068603516,-0.9313
2.7889206409454346,-0.9309
2.830889940261841,-0.931
2.8879168033599854,-0.931
2.9310829639434814,-0.931
2.987996816635132,-0.9306
3.030989646911621,-0.9312
3.0870089530944824,-0.931
3.130016803741455,-0.9309
3.1870436668395996,-0.9308
3.23006272315979,-0.931
3.28705096244812,-0.9311
3.3290276527404785,-0.931
3.3860437870025635,-0.9307
3.4290459156036377,-0.9311
3.4860448837280273,-0.9309
3.5280468463897705,-0.9307
3.5850718021392822,-0.9314
3.6420717239379883,-0.9312
3.6840858459472656,-0.9309
3.7420148849487305,-0.9306
3.7840099334716797,-0.9309
3.840981960296631,-0.9308
3.883986711502075,-0.9313
3.9411587715148926,-0.9308
3.9831056594848633,-0.9312
4.040083885192871,-0.9308
4.083094835281372,-0.9311
4.1401238441467285,-0.9306
4.182153940200806,-0.9311
4.239124774932861,-0.9307
4.282090902328491,-0.9311
4.339097738265991,-0.9306
4.381189823150635,-0.931
4.438110828399658,-0.9308
4.481122016906738,-0.9311
4.538130760192871,-0.9308
4.595157861709595,-0.931
4.637139797210693,-0.931
4.694182872772217,-0.9313
4.737170934677124,-0.9314
4.7941718101501465,-0.9311
4.837141990661621,-0.931
4.8931519985198975,-0.9308
4.936172723770142,-0.9314
4.99315881729126,-0.9313
5.035170793533325,-0.9309
5.09217095375061,-0.9309
5.135167837142944,-0.931
5.192223787307739,-0.9307
5.235180616378784,-0.9311
5.291143894195557,-0.9311
5.334194898605347,-0.9313
5.391213655471802,-0.9308
5.448227643966675,-0.9311
5.491201639175415,-0.9312
5.54722785949707,-0.9313
5.590210676193237,-0.9311
5.647222995758057,-0.9312
