./Data/BW2025-02-07_16:11:02sky.txt
Duration (in s): 30
Calibrating: False
Temperature of the calibrator (in Celsius): nan
Azimuth angle from North: nan
Altitude angle from the horizon: 160.0
Temperature Outside (in Celsius): 2
Weather: nan
Units: Volts

Time (s), Voltage (V)
5.984306335449219e-05,-0.338
0.05130171775817871,-0.3382
0.1082448959350586,-0.3378
0.1513378620147705,-0.3382
0.20750689506530762,-0.3379
0.250485897064209,-0.3382
0.30750203132629395,-0.338
0.35042285919189453,-0.3383
0.4064779281616211,-0.338
0.4494030475616455,-0.3383
0.5064530372619629,-0.338
0.5634748935699463,-0.3382
0.6062979698181152,-0.3381
0.663348913192749,-0.3383
0.7052469253540039,-0.3381
0.7622048854827881,-0.3381
0.8051769733428955,-0.3381
0.8612029552459717,-0.3383
0.9041588306427002,-0.3381
0.9611268043518066,-0.3381
1.004145860671997,-0.3382
1.061089038848877,-0.3382
1.1030869483947754,-0.3381
1.1602129936218262,-0.3381
1.20316481590271,-0.3382
1.260124921798706,-0.3381
1.317155122756958,-0.3381
1.3591039180755615,-0.338
1.4161179065704346,-0.3382
1.4590699672698975,-0.3379
1.5161089897155762,-0.3383
1.5580699443817139,-0.338
1.6150949001312256,-0.3383
1.6580390930175781,-0.3381
1.715242862701416,-0.3382
1.7571079730987549,-0.3379
1.814112901687622,-0.3381
1.8570549488067627,-0.3378
1.914072036743164,-0.3382
1.9570379257202148,-0.338
2.0130739212036133,-0.3381
2.0560340881347656,-0.338
2.113049030303955,-0.3381
2.1560168266296387,-0.3382
2.2120108604431152,-0.3383
2.255021095275879,-0.3381
2.312027931213379,-0.3382
2.355031967163086,-0.3382
2.411984920501709,-0.3379
2.467992067337036,-0.3381
2.5110080242156982,-0.3379
2.567992925643921,-0.3383
2.6109838485717773,-0.3379
2.6679680347442627,-0.3382
2.709929943084717,-0.338
2.7669899463653564,-0.3383
2.8098809719085693,-0.3379
2.8668789863586426,-0.3381
2.9090349674224854,-0.3381
2.9659669399261475,-0.3382
3.008927822113037,-0.3379
3.0659329891204834,-0.3381
3.107927083969116,-0.3379
3.164933919906616,-0.3381
3.2079107761383057,-0.3379
3.2648990154266357,-0.338
3.3219058513641357,-0.3379
3.363884925842285,-0.338
3.420914888381958,-0.3381
3.4638888835906982,-0.3381
3.5209178924560547,-0.338
3.5628910064697266,-0.3378
3.6198618412017822,-0.3378
3.662914991378784,-0.3378
3.7198851108551025,-0.338
3.7618789672851562,-0.338
3.818892002105713,-0.3381
3.861849069595337,-0.338
3.9188549518585205,-0.338
3.9618401527404785,-0.3378
4.017812967300415,-0.3381
4.060795783996582,-0.3378
4.1178297996521,-0.3382
4.1608099937438965,-0.3379
4.217817068099976,-0.3381
4.2737877368927,-0.3378
4.316833972930908,-0.3381
4.373799800872803,-0.3377
4.4157938957214355,-0.3381
4.47377610206604,-0.338
4.515793800354004,-0.338
4.572786808013916,-0.338
4.615777969360352,-0.3382
4.671753883361816,-0.338
4.714786052703857,-0.338
4.771795988082886,-0.3378
4.814779758453369,-0.3377
4.871758937835693,-0.3379
4.913756847381592,-0.3379
4.970755100250244,-0.3379
5.013712167739868,-0.3379
5.070745944976807,-0.3379
5.1127519607543945,-0.3379
5.1697399616241455,-0.3381
5.226691961288452,-0.3378
5.269696950912476,-0.3381
5.3267199993133545,-0.3379
5.3687050342559814,-0.3381
5.425827980041504,-0.338
5.468711853027344,-0.3382
5.525683879852295,-0.3381
5.5676867961883545,-0.3382
5.624665021896362,-0.3379
5.667655944824219,-0.3383
5.724632024765015,-0.3379
5.7666239738464355,-0.3383
5.82362699508667,-0.3378
5.866581916809082,-0.338
5.923642158508301,-0.3379
5.966603994369507,-0.338
6.022586107254028,-0.338
6.079603910446167,-0.3382
6.122560024261475,-0.3382
6.1796369552612305,-0.338
6.222553014755249,-0.3383
6.278568983078003,-0.3381
6.321605920791626,-0.338
6.378616094589233,-0.338
6.421557903289795,-0.3381
6.477581024169922,-0.3378
6.52055811882019,-0.3381
6.57762598991394,-0.338
6.62053918838501,-0.3383
6.677484035491943,-0.3379
6.719507932662964,-0.3381
6.776510953903198,-0.3378
6.819519996643066,-0.3381
6.876475811004639,-0.3379
6.933465003967285,-0.3381
6.975478887557983,-0.3379
7.0324437618255615,-0.338
7.075451850891113,-0.338
7.132503986358643,-0.3382
7.174470901489258,-0.3378
7.231418132781982,-0.3381
7.274390935897827,-0.3379
7.331411838531494,-0.3382
7.373393774032593,-0.3379
7.430396795272827,-0.3382
7.473369121551514,-0.3382
7.530350923538208,-0.338
7.572360992431641,-0.3382
7.629354953765869,-0.3379
7.672346830368042,-0.338
7.729366064071655,-0.3379
7.786343812942505,-0.3382
7.828400135040283,-0.338
7.885332822799683,-0.3381
7.928313970565796,-0.338
7.985337972640991,-0.3382
8.028348922729492,-0.338
8.084373950958252,-0.3383
8.127310037612915,-0.338
8.184303998947144,-0.3384
8.226311922073364,-0.338
8.284278869628906,-0.3383
8.3262939453125,-0.338
8.383296966552734,-0.3383
8.426277160644531,-0.338
8.482278823852539,-0.3383
8.525255918502808,-0.338
8.58235216140747,-0.3382
8.625257968902588,-0.338
8.68229079246521,-0.338
8.738245010375977,-0.3381
8.781280994415283,-0.3381
8.838270902633667,-0.3382
8.881217002868652,-0.3381
8.937203884124756,-0.3383
8.980201959609985,-0.3379
9.037246942520142,-0.3382
9.080219745635986,-0.338
9.137212753295898,-0.3383
9.179188013076782,-0.338
9.236219882965088,-0.3381
9.279183149337769,-0.3381
9.336204051971436,-0.3382
9.37818694114685,-0.3379
9.435178995132446,-0.3385
9.478168964385986,-0.3379
9.535156011581421,-0.3383
9.577170848846436,-0.3379
9.634171724319458,-0.3381
9.691252946853638,-0.338
9.734490156173706,-0.3383
9.791592836380005,-0.338
9.833435773849487,-0.338
9.890480756759644,-0.338
9.933484077453613,-0.338
9.990503787994385,-0.338
10.032460927963257,-0.338
10.089502811431885,-0.338
10.13237190246582,-0.338
10.189489841461182,-0.338
10.232410907745361,-0.3381
10.288473129272461,-0.338
10.331309080123901,-0.3381
10.388475179672241,-0.3383
10.445461988449097,-0.3378
10.488444805145264,-0.3382
10.544234991073608,-0.338
10.587285041809082,-0.338
10.644366979598999,-0.338
10.687213897705078,-0.3382
10.743156909942627,-0.3379
10.786032915115356,-0.3383
10.843024015426636,-0.338
10.886061906814575,-0.3383
10.943022012710571,-0.338
10.985068082809448,-0.3383
11.042038917541504,-0.3379
11.085006952285767,-0.3382
11.141999006271362,-0.3381
11.183986902236938,-0.3383
11.240982055664062,-0.338
11.283967018127441,-0.3382
11.341003894805908,-0.338
11.38296389579773,-0.3381
11.43996000289917,-0.3384
11.496973037719727,-0.3381
11.539940118789673,-0.3383
11.596954107284546,-0.3381
11.638921976089478,-0.3384
11.695981979370117,-0.3378
11.73897385597229,-0.3381
11.79593276977539,-0.3381
11.837968111038208,-0.3384
11.89492392539978,-0.338
11.937906980514526,-0.3384
11.994893074035645,-0.338
12.036894798278809,-0.3382
12.093903064727783,-0.3378
12.136888980865479,-0.3382
12.193873882293701,-0.3379
12.23688292503357,-0.3381
12.292866945266724,-0.3379
12.349924087524414,-0.3382
12.392877101898193,-0.3381
12.449860095977783,-0.3382
12.491856098175049,-0.3381
12.54885196685791,-0.3381
12.591824054718018,-0.3382
12.648828744888306,-0.3382
12.69182801246643,-0.3382
12.747833967208862,-0.338
12.790853023529053,-0.3383
12.847851991653442,-0.3379
12.890824794769287,-0.3381
12.947802066802979,-0.338
12.989791870117188,-0.3382
13.046800136566162,-0.3381
13.089827060699463,-0.3384
13.14680290222168,-0.3381
13.202764987945557,-0.3382
13.245764970779419,-0.338
13.302770853042603,-0.3383
13.345754861831665,-0.338
13.402751922607422,-0.3382
13.4447500705719,-0.338
13.501767873764038,-0.3382
13.544729948043823,-0.3382
13.601723909378052,-0.3383
13.643717765808105,-0.338
13.70085597038269,-0.3382
13.743708848953247,-0.338
13.800739049911499,-0.3384
13.842747926712036,-0.3381
13.899703979492188,-0.3382
13.942691087722778,-0.3382
13.999675750732422,-0.3381
14.042693138122559,-0.3381
14.098674774169922,-0.3379
14.155659914016724,-0.3382
14.198650121688843,-0.338
14.255664110183716,-0.3383
14.297685861587524,-0.338
14.355674028396606,-0.3383
14.397633075714111,-0.3379
14.454630851745605,-0.3382
14.497635126113892,-0.3378
14.55364203453064,-0.3383
14.596801996231079,-0.3378
14.653641939163208,-0.3383
14.696626901626587,-0.338
14.753644943237305,-0.3384
14.795636892318726,-0.3379
14.852628946304321,-0.3382
14.895654916763306,-0.3381
14.952603816986084,-0.3382
14.994617938995361,-0.338
15.051633834838867,-0.3381
15.10859990119934,-0.338
15.151561975479126,-0.3379
15.208585977554321,-0.3381
15.250561952590942,-0.338
15.307568073272705,-0.3382
15.350578784942627,-0.3382
15.407552003860474,-0.3383
15.449531078338623,-0.3379
15.506523847579956,-0.338
15.54954481124878,-0.3381
15.606502771377563,-0.3382
15.648509979248047,-0.3379
15.705556869506836,-0.3384
15.748637914657593,-0.3379
15.805490970611572,-0.3383
15.848505020141602,-0.338
15.904639959335327,-0.3382
15.961545944213867,-0.338
16.004517793655396,-0.3382
16.061479806900024,-0.3379
16.104466915130615,-0.3383
16.160497903823853,-0.338
16.203452825546265,-0.3381
16.26044487953186,-0.3379
16.302449941635132,-0.3381
16.35946798324585,-0.3379
16.402467966079712,-0.3382
16.459415912628174,-0.3381
16.502418994903564,-0.338
16.558459043502808,-0.338
16.601433038711548,-0.3381
16.65848708152771,-0.3379
16.70141887664795,-0.3381
16.757418870925903,-0.3383
16.814432859420776,-0.3381
16.8573899269104,-0.3382
16.914376974105835,-0.338
16.957414865493774,-0.3382
17.0133638381958,-0.338
17.05636715888977,-0.3384
17.113399028778076,-0.338
17.156368732452393,-0.3384
17.212394952774048,-0.3381
17.255356788635254,-0.3383
17.312379121780396,-0.3379
17.355459928512573,-0.3382
17.412385940551758,-0.3379
17.454364776611328,-0.3382
17.51137685775757,-0.3379
17.554386854171753,-0.338
17.611351013183594,-0.3381
17.65335702896118,-0.3382
17.710375785827637,-0.338
17.753392934799194,-0.3382
17.810303926467896,-0.3382
17.867286920547485,-0.3382
17.90927004814148,-0.3382
17.966356992721558,-0.338
18.009275913238525,-0.3382
18.066256046295166,-0.338
18.108274936676025,-0.3382
18.16534972190857,-0.338
18.208271980285645,-0.3383
18.26523494720459,-0.3381
18.30827784538269,-0.3385
18.36425495147705,-0.3381
18.40721893310547,-0.3383
18.464232921600342,-0.3381
18.507210969924927,-0.3383
18.56324291229248,-0.338
18.606241941452026,-0.3382
18.66319489479065,-0.338
18.706195831298828,-0.3381
18.763206958770752,-0.3381
18.819291830062866,-0.3384
18.862185955047607,-0.3381
18.91917109489441,-0.3382
18.962170124053955,-0.3381
19.019170999526978,-0.3382
19.061163902282715,-0.3381
19.118141889572144,-0.3383
19.16115403175354,-0.3381
19.218146085739136,-0.3382
19.260152101516724,-0.3381
19.317128896713257,-0.3382
19.360123872756958,-0.3382
19.41712784767151,-0.3381
19.45911693572998,-0.3383
19.516119956970215,-0.3381
19.559109926223755,-0.3383
19.6161048412323,-0.3382
19.659085988998413,-0.3382
19.71521496772766,-0.338
19.75819492340088,-0.3382
19.815386056900024,-0.3381
19.857271909713745,-0.3383
19.914350986480713,-0.3381
19.971399784088135,-0.3383
20.01431703567505,-0.3381
20.071417093276978,-0.3384
20.113285064697266,-0.3381
20.170365810394287,-0.3382
20.21328592300415,-0.338
20.27036690711975,-0.3382
20.31239604949951,-0.338
20.370404958724976,-0.3382
20.41227102279663,-0.3381
20.469398975372314,-0.3382
20.5123131275177,-0.3382
20.568383932113647,-0.3381
20.625334978103638,-0.3382
20.668091773986816,-0.3381
20.725032806396484,-0.3381
20.767071962356567,-0.338
20.82402992248535,-0.3383
20.866966009140015,-0.3379
20.924041986465454,-0.3383
20.966993808746338,-0.338
21.023041009902954,-0.3383
21.06596088409424,-0.3381
21.122956037521362,-0.3383
21.165924072265625,-0.3379
21.22294807434082,-0.3382
21.264955043792725,-0.338
21.321985006332397,-0.3382
21.36491584777832,-0.338
21.421934127807617,-0.3383
21.46489691734314,-0.3382
21.520906925201416,-0.3382
21.57793617248535,-0.338
21.620914936065674,-0.3383
21.677947759628296,-0.3382
21.719878911972046,-0.3383
21.776917934417725,-0.3382
21.81992483139038,-0.3381
21.876857042312622,-0.3381
21.9188449382782,-0.338
21.97584104537964,-0.3382
22.018836975097656,-0.3379
22.075846910476685,-0.3383
22.117818117141724,-0.338
22.174832105636597,-0.3383
22.217809915542603,-0.3381
22.274824857711792,-0.3382
22.317819118499756,-0.338
22.37385892868042,-0.3386
22.430845975875854,-0.338
22.473835945129395,-0.3383
22.53078603744507,-0.338
22.573787927627563,-0.3384
22.629796028137207,-0.3381
22.67279887199402,-0.3382
22.72975778579712,-0.338
22.77277898788452,-0.3381
22.82978391647339,-0.3381
22.871765851974487,-0.3382
22.92874789237976,-0.3381
22.971739768981934,-0.3382
23.028742790222168,-0.338
23.07077383995056,-0.3382
23.12774085998535,-0.3383
23.170714139938354,-0.3382
23.227715969085693,-0.3384
23.28472900390625,-0.3381
23.32671308517456,-0.3384
23.38369083404541,-0.3383
23.42669677734375,-0.3383
23.483684062957764,-0.3382
23.525672912597656,-0.3385
23.582669019699097,-0.338
23.625684022903442,-0.3385
23.68267011642456,-0.3381
23.724698066711426,-0.3383
23.781677961349487,-0.3381
23.82468605041504,-0.3384
23.88167691230774,-0.3382
23.92465305328369,-0.3384
23.98065686225891,-0.3379
24.023629903793335,-0.3386
24.08065891265869,-0.3381
24.12362003326416,-0.3384
24.179621934890747,-0.3381
24.222604036331177,-0.3384
24.279711961746216,-0.3383
24.321717977523804,-0.3383
24.379685878753662,-0.3385
24.435652017593384,-0.3383
24.478654861450195,-0.3383
24.535660982131958,-0.3383
24.577627897262573,-0.3383
24.63562798500061,-0.3382
24.677608966827393,-0.3383
24.73481583595276,-0.3382
24.777650833129883,-0.3384
24.833685874938965,-0.3382
24.876669883728027,-0.3385
24.933639764785767,-0.3382
24.97665500640869,-0.3385
25.033586978912354,-0.3381
25.090637922286987,-0.3386
25.132625818252563,-0.3381
25.189568996429443,-0.3384
25.232612133026123,-0.3382
25.288589000701904,-0.3384
25.331598043441772,-0.3381
25.38856601715088,-0.3383
25.43153691291809,-0.3382
25.488560914993286,-0.3385
25.530524969100952,-0.3382
25.587536811828613,-0.3383
25.63052201271057,-0.3383
25.687536001205444,-0.3385
25.729493856430054,-0.3382
25.786600828170776,-0.3384
25.82945680618286,-0.3382
25.886538982391357,-0.3381
25.92951488494873,-0.3384
25.985513925552368,-0.3383
26.042470932006836,-0.3384
26.085503816604614,-0.3379
26.14250111579895,-0.3385
26.185455083847046,-0.338
26.241461992263794,-0.3383
26.284471035003662,-0.3382
26.34149980545044,-0.3384
26.383438110351562,-0.3381
26.440453052520752,-0.3385
26.483444929122925,-0.338
26.540496110916138,-0.3384
26.583430767059326,-0.3381
26.63946294784546,-0.3383
26.682418823242188,-0.3381
26.739434003829956,-0.3383
26.782397985458374,-0.3381
26.83945894241333,-0.3383
26.88142204284668,-0.3382
26.93840503692627,-0.3382
26.995388746261597,-0.3382
27.038365840911865,-0.3382
27.095458984375,-0.3382
27.13736891746521,-0.3382
27.19442892074585,-0.3383
27.23733401298523,-0.3382
27.29436492919922,-0.3384
27.336402893066406,-0.3382
27.393370151519775,-0.3383
27.436357021331787,-0.3381
27.493363857269287,-0.3384
27.535335779190063,-0.3383
27.592319011688232,-0.3384
27.635311126708984,-0.3381
27.69229483604431,-0.3385
27.7343590259552,-0.3379
27.791275024414062,-0.3385
27.834347009658813,-0.3381
27.891298055648804,-0.3385
27.934314012527466,-0.3383
27.990280866622925,-0.3384
28.033262968063354,-0.3381
28.090304851531982,-0.3385
28.14729380607605,-0.3382
28.190263032913208,-0.3383
28.2462477684021,-0.3381
28.289243936538696,-0.3381
28.346324920654297,-0.3381
28.38825011253357,-0.3382
28.445261001586914,-0.3382
28.488261938095093,-0.3383
28.545300006866455,-0.3383
28.58724880218506,-0.3383
28.645256996154785,-0.3384
28.68724489212036,-0.3381
28.74428391456604,-0.3383
28.78724503517151,-0.3382
28.843322038650513,-0.3383
28.886255979537964,-0.3382
28.94321894645691,-0.3385
28.986167907714844,-0.338
29.043170928955078,-0.3385
29.09915804862976,-0.3382
29.142181873321533,-0.3384
29.199161052703857,-0.3381
29.24213695526123,-0.3385
29.298135995864868,-0.3383
29.341187000274658,-0.3384
29.39815092086792,-0.3383
29.441112995147705,-0.3383
29.49811100959778,-0.3382
29.54013681411743,-0.3383
29.597150802612305,-0.3382
29.640094995498657,-0.3383
29.69724202156067,-0.3382
29.74028491973877,-0.3383
29.79630398750305,-0.3382
29.839337825775146,-0.3383
29.896370887756348,-0.3384
29.953330993652344,-0.3383
29.99530601501465,-0.3384
